@relation trainingScaled

@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 numeric
@attribute 27 numeric
@attribute label {1,-1}

@data
0,0.21662,0.01013,0,0.26028,0.018705,0,0.28045,0.027954,0,0.3014,0.041374,0.015267,0.33821,0.044054,0.027778,0.35479,0.049381,0.046218,0.32739,0.038745,0.059211,0.28607,0.036268,0.074271,0.25699,0.043779,-1
0.5,0.18081,0.035296,0.725,0.2625,0.053316,0.90164,0.28727,0.056551,0.97778,0.28601,0.056356,0.98473,0.28909,0.050164,0.98333,0.26165,0.050898,0.97899,0.19753,0.038823,0.97368,0.098794,0.024865,0.95756,0.008879,0.013336,1
0.125,0.35559,0.14196,0.225,0.45244,0.096806,0.22131,0.51148,0.13851,0.18889,0.721,0.1723,0.20611,0.82384,0.20123,0.26389,0.78387,0.1912,0.27311,0.69793,0.18319,0.27961,0.66446,0.18313,0.27056,0.59875,0.19784,-1
0.083333,0.21152,0.015569,0.075,0.23731,0.019369,0.065574,0.3008,0.026831,0.055556,0.43682,0.048811,0.045802,0.54174,0.080699,0.080556,0.56218,0.088186,0.13025,0.52733,0.072729,0.16447,0.49742,0.071896,0.20292,0.46034,0.075535,-1
0,0.14502,0.005782,0,0.17958,0.011277,0,0.23453,0.018375,0,0.29372,0.024067,0,0.31784,0.028638,0.019444,0.33357,0.047174,0.039916,0.31014,0.050147,0.054276,0.28403,0.05801,0.057029,0.26096,0.074964,-1
0,0.30875,0.089698,0,0.37775,0.067537,0,0.46693,0.12198,0.066667,0.70208,0.27081,0.16794,0.76857,0.23068,0.26389,0.71966,0.21386,0.31303,0.67531,0.22534,0.34211,0.66948,0.23157,0.36737,0.62974,0.27371,-1
0.125,0.4316,0.093873,0.2,0.5547,0.11537,0.2459,0.65385,0.15497,0.33333,0.66311,0.15701,0.38168,0.61675,0.16486,0.43056,0.5967,0.18999,0.47689,0.532,0.17739,0.51809,0.46333,0.17178,0.5557,0.40234,0.19659,1
0,0.23719,0.012372,0,0.36907,0.047484,0.032787,0.4686,0.082014,0.11111,0.51079,0.081488,0.13359,0.51979,0.084651,0.16667,0.56536,0.11063,0.18697,0.54087,0.10106,0.18257,0.50451,0.087845,0.16976,0.44727,0.088921,-1
0,0.24179,0.047341,0,0.31126,0.049423,0,0.38187,0.079267,0.055556,0.48917,0.12277,0.1145,0.49463,0.099767,0.16111,0.52039,0.099392,0.19328,0.52109,0.086632,0.23026,0.49379,0.07797,0.25995,0.43256,0.079279,1
0,0.22502,0.021923,0,0.32695,0.048791,0.04918,0.43901,0.085002,0.11667,0.54719,0.090126,0.18321,0.61464,0.11092,0.21944,0.63794,0.13162,0.26471,0.63198,0.12154,0.29112,0.63704,0.12713,0.29973,0.61888,0.15873,1
0.0625,0.25824,0.026314,0.0375,0.3788,0.088275,0.098361,0.44824,0.10186,0.20556,0.48822,0.097206,0.26718,0.52855,0.12453,0.31667,0.56929,0.18726,0.34034,0.58206,0.23722,0.35362,0.60437,0.27002,0.34483,0.54341,0.24901,-1
0.041667,0.35884,0.093631,0.15,0.43984,0.11837,0.22131,0.47998,0.17247,0.27778,0.5367,0.22714,0.30534,0.56476,0.23015,0.32222,0.56563,0.23849,0.33403,0.51676,0.21551,0.33882,0.46354,0.19245,0.34748,0.4023,0.19465,1
0,0.40189,0.10659,0,0.48771,0.10486,0.065574,0.54581,0.14498,0.13333,0.67088,0.18583,0.18321,0.69664,0.18729,0.18056,0.69093,0.20851,0.17437,0.65472,0.18121,0.17599,0.69519,0.17549,0.19496,0.69142,0.20549,-1
0.625,0.38565,0.16353,0.625,0.46937,0.14478,0.67213,0.51233,0.17347,0.67778,0.57692,0.18397,0.64885,0.58164,0.17202,0.65,0.53895,0.17376,0.64706,0.48229,0.15631,0.64474,0.42694,0.14348,0.63263,0.34572,0.14725,1
0.625,0.40475,0.10867,0.55,0.48167,0.10294,0.5082,0.56043,0.116,0.5,0.64806,0.14342,0.45802,0.68342,0.14878,0.47222,0.74572,0.18784,0.5042,0.75347,0.21804,0.55263,0.7598,0.21533,0.58355,0.69965,0.22661,1
0.125,0.40133,0.059196,0.375,0.50419,0.042299,0.52459,0.45437,0.069447,0.56667,0.47111,0.090227,0.51145,0.50064,0.09365,0.45556,0.49332,0.10752,0.42857,0.43802,0.093472,0.42434,0.39715,0.080476,0.40318,0.34752,0.084707,1
0.375,0.21986,0.028982,0.3625,0.35288,0.071072,0.35246,0.44959,0.088776,0.32778,0.46669,0.080237,0.28626,0.52403,0.067772,0.24722,0.61077,0.10544,0.2395,0.63705,0.12455,0.2352,0.61212,0.10497,0.23607,0.62119,0.16251,-1
0.083333,0.38303,0.17002,0.2,0.48577,0.14848,0.31967,0.55375,0.18052,0.37778,0.59773,0.20744,0.39313,0.58121,0.20787,0.41667,0.55997,0.2175,0.43277,0.52917,0.21248,0.45395,0.4977,0.20263,0.47082,0.41782,0.21696,-1
0.20833,0.40195,0.11706,0.325,0.48548,0.10599,0.40984,0.54999,0.13673,0.38889,0.58159,0.15231,0.38168,0.65955,0.16413,0.38889,0.69392,0.18403,0.40336,0.64456,0.1578,0.38487,0.65885,0.17284,0.38462,0.64787,0.23241,1
0,0.17219,0.027517,0,0.34618,0.15233,0.11475,0.44,0.24335,0.17778,0.43547,0.17485,0.18321,0.471,0.18665,0.17778,0.48804,0.24332,0.17227,0.43255,0.20892,0.16283,0.37903,0.18733,0.14721,0.30972,0.18812,1
